,counter,phi,theta,psi,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,height,ultrasound,opticflow_vx,opticflow_vy
300,300,-304,313,-2321,194,-109,-69,392433267,30036204,500219764,1.003906,2991,-40.463264,55.488823
301,301,-304,313,-2321,194,-109,-69,392433267,30036204,500219764,1.003906,2991,-40.463264,55.488823
302,302,-324,328,-2312,243,-107,-81,392433265,30036202,500219765,1.003906,2901,-28.888634,38.397137
303,303,-324,328,-2312,243,-107,-81,392433265,30036202,500219765,1.003906,2901,-28.888634,38.397137
304,304,-324,328,-2312,243,-107,-81,392433265,30036202,500219765,1.003906,2901,-28.888634,38.397137
305,305,-347,359,-2291,238,24,-20,392433263,30036200,500219767,1.0,2890,-27.368179,-8.083607
306,306,-347,359,-2291,238,24,-20,392433263,30036200,500219767,1.0,2890,-27.368179,-8.083607
307,307,-347,359,-2291,238,24,-20,392433263,30036200,500219767,1.0,2890,-27.368179,-8.083607
308,308,-412,328,-2273,-175,-140,-364,392433261,30036198,500219769,1.0,2984,-38.572975,72.631088
309,309,-412,328,-2273,-175,-140,-364,392433261,30036198,500219769,1.0,2984,-38.572975,72.631088
310,310,-412,328,-2273,-175,-140,-364,392433261,30036198,500219769,1.0,2984,-38.572975,72.631088
311,311,-419,277,-2267,1,20,-228,392433259,30036196,500219770,1.0,2977,11.506142,87.794937
312,312,-419,277,-2267,1,20,-228,392433259,30036196,500219770,1.0,2977,11.506142,87.794937
313,313,-419,277,-2267,1,20,-228,392433259,30036196,500219770,1.0,2977,11.506142,87.794937
314,314,-468,292,-2255,-242,-36,23,392433257,30036193,500219772,1.0,2988,-21.114683,79.374184
315,315,-468,292,-2255,-242,-36,23,392433257,30036193,500219772,1.0,2988,-21.114683,79.374184
316,316,-468,292,-2255,-242,-36,23,392433257,30036193,500219772,1.0,2988,-21.114683,79.374184
317,317,-439,316,-2199,-303,271,98,392433255,30036191,500219774,1.0,2994,25.036818,34.130787
318,318,-439,316,-2199,-303,271,98,392433255,30036191,500219774,1.0,2994,25.036818,34.130787
319,319,-439,316,-2199,-303,271,98,392433255,30036191,500219774,1.0,2994,25.036818,34.130787
320,320,-411,334,-2135,-494,237,-186,392433253,30036188,500219775,1.0,2993,19.350409,31.434904
321,321,-411,334,-2135,-494,237,-186,392433253,30036188,500219775,1.0,2993,19.350409,31.434904
322,322,-411,334,-2135,-494,237,-186,392433253,30036188,500219775,1.0,2993,19.350409,31.434904
323,323,-395,356,-2111,-322,300,25,392433252,30036186,500219777,1.003906,3002,-11.604765,81.40654
324,324,-395,356,-2111,-322,300,25,392433252,30036186,500219777,1.003906,3002,-11.604765,81.40654
325,325,-395,356,-2111,-322,300,25,392433252,30036186,500219777,1.003906,3002,-11.604765,81.40654
326,326,-399,369,-2116,-200,408,83,392433251,30036184,500219778,1.003906,3011,-23.330072,73.215721
327,327,-399,369,-2116,-200,408,83,392433251,30036184,500219778,1.003906,3011,-23.330072,73.215721
328,328,-399,369,-2116,-200,408,83,392433251,30036184,500219778,1.003906,3011,-23.330072,73.215721
329,329,-391,348,-2112,-67,248,-78,392433249,30036183,500219779,1.0,3005,-7.776691,63.166504
330,330,-391,348,-2112,-67,248,-78,392433249,30036183,500219779,1.0,3005,-7.776691,63.166504
331,331,-391,348,-2112,-67,248,-78,392433249,30036183,500219779,1.0,3005,-7.776691,63.166504
332,332,-375,325,-2104,42,322,-86,392433247,30036181,500219780,1.0,2986,1.891077,46.081066
333,333,-375,325,-2104,42,322,-86,392433247,30036181,500219780,1.0,2986,1.891077,46.081066
334,334,-375,325,-2104,42,322,-86,392433247,30036181,500219780,1.0,2986,1.891077,46.081066
335,335,-387,311,-2117,165,136,-14,392433246,30036180,500219781,0.996094,2874,-5.728415,39.479404
336,336,-387,311,-2117,165,136,-14,392433246,30036180,500219781,0.996094,2874,-5.728415,39.479404
337,337,-387,311,-2117,165,136,-14,392433246,30036180,500219781,0.996094,2874,-5.728415,39.479404
338,338,-373,289,-2109,-143,317,-294,392433244,30036179,500219782,0.996094,2989,0.0,46.952084
339,339,-373,289,-2109,-143,317,-294,392433244,30036179,500219782,0.996094,2989,0.0,46.952084
340,340,-373,289,-2109,-143,317,-294,392433244,30036179,500219782,0.996094,2989,0.0,46.952084
341,341,-323,250,-2065,187,204,-146,392433243,30036178,500219783,0.988281,2992,15.319606,50.904881
342,342,-323,250,-2065,187,204,-146,392433243,30036178,500219783,0.988281,2992,15.319606,50.904881
343,343,-323,250,-2065,187,204,-146,392433243,30036178,500219783,0.988281,2992,15.319606,50.904881
344,344,-328,232,-2051,215,0,-137,392433241,30036177,500219784,0.988281,2974,3.691097,43.608868
345,345,-328,232,-2051,215,0,-137,392433241,30036177,500219784,0.988281,2974,3.691097,43.608868
346,346,-328,232,-2051,215,0,-137,392433241,30036177,500219784,0.988281,2974,3.691097,43.608868
347,347,-329,202,-2039,261,-51,-369,392433239,30036176,500219785,0.988281,2962,7.615971,60.455109
348,348,-329,202,-2039,261,-51,-369,392433239,30036176,500219785,0.988281,2962,7.615971,60.455109
349,349,-329,202,-2039,261,-51,-369,392433239,30036176,500219785,0.988281,2962,7.615971,60.455109
350,350,-344,210,-2040,91,-45,108,392433238,30036175,500219787,0.988281,3004,11.319851,61.297321
351,351,-344,210,-2040,91,-45,108,392433238,30036175,500219787,0.988281,3004,11.319851,61.297321
352,352,-344,210,-2040,91,-45,108,392433238,30036175,500219787,0.988281,3004,11.319851,61.297321
353,353,-334,191,-2042,-123,-190,-97,392433236,30036173,500219788,0.988281,2990,17.300304,76.648621
354,354,-334,191,-2042,-123,-190,-97,392433236,30036173,500219788,0.988281,2990,17.300304,76.648621
355,355,-334,191,-2042,-123,-190,-97,392433236,30036173,500219788,0.988281,2990,17.300304,76.648621
356,356,-335,198,-2073,-58,-41,-32,392433234,30036172,500219790,0.992188,2968,0.0,76.035675
